No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,3123,0.0007752348506367595,2.1338882620044196e-09,8.003902239986855e-13,1.982532313942737e-12,-2.4936863415617343e-24,-9.074632869323982e-17,-1.3542401859518706e-25,sedih,
2,3124,0.0007534092349231018,6.910843340185538e-10,4.908978523867698e-13,1.4026826261615406e-12,-4.0762668587175917e-25,-3.148923865683338e-17,-1.0902395993403218e-24,sedih,
3,3128,0.0006730605462377604,1.0614700914701914e-10,7.566869960608593e-14,6.651097564303227e-14,3.820757893628848e-27,-6.370851033081962e-19,2.768655259291213e-27,sedih,
4,3129,0.0007740091387009626,2.4917824727955643e-09,1.721158213742253e-12,4.416605361054531e-13,1.3231311905274377e-25,-1.3348342111865782e-17,3.6162771603071826e-25,sedih,
5,3130,0.0007132476829309878,1.819017402534077e-09,1.1403867522527532e-12,5.976892105338935e-13,-4.798850025368513e-25,-2.5488970570012567e-17,1.1488629355010379e-25,sedih,
6,3133,0.000810473142793391,3.806389559568958e-09,1.0337633957944935e-11,1.1098336734204635e-12,-2.819725246466125e-24,-6.527998624086492e-17,-2.486134278339202e-24,sedih,
7,3134,0.0009046895690673824,6.733898322933838e-08,2.740452104841172e-11,1.1217713514244722e-11,-1.909332930168784e-22,-2.902780168066046e-15,4.7210409778470753e-23,sedih,
8,3137,0.0007308133957099178,4.3274560814177164e-11,2.274355196216394e-12,1.1294388244022714e-13,5.72295592542276e-26,2.5417197524226413e-19,-1.2454292195813118e-27,sedih,
9,3138,0.0009036440880781139,4.1981306958210985e-10,7.048539116978262e-12,1.495842891204323e-11,6.081367466507686e-23,-2.2836607341305785e-16,1.410435348007986e-22,sedih,
10,3141,0.0008402137701685639,7.953940121000862e-09,3.282295974365634e-11,3.4222791754157314e-13,1.3805530191656157e-25,-1.3573965771275578e-17,1.1386576641640522e-24,bahagia,
11,3142,0.0009592950218446472,1.4620421346268524e-07,1.645455917291459e-11,7.47071230721315e-14,6.363282401440803e-26,2.5863000804309586e-17,-5.302475533076958e-26,sedih,
12,3145,0.0009231411244297669,1.901492882816298e-09,4.218919753474e-11,5.063880155445211e-12,5.058480238933055e-23,-1.700826665981622e-16,-5.403285851719848e-23,sedih,
13,3146,0.0009177573593344875,6.735039336081536e-08,3.084959425255023e-12,7.810550896091689e-13,1.1000078627764495e-24,-7.766276105712142e-17,5.09809048509131e-25,sedih,
14,3150,0.0008938877023099135,1.3424565096835265e-07,4.2911538402168365e-12,1.9496713480049124e-11,1.1933015690695515e-22,2.7579022684528762e-15,1.3252395157153e-22,bahagia,
15,3151,0.0012436343667449994,2.1821777039687582e-07,2.3717573333806133e-11,1.2538297713081824e-10,2.367397962754749e-21,-4.601100037959272e-14,6.414506783755894e-21,bahagia,
16,3152,0.0008581147982485548,9.226561574825728e-08,3.20513202217894e-11,7.985688691605163e-12,9.642522224213038e-23,7.12713430836131e-16,8.381253026385433e-23,sedih,
17,3156,0.0007560930044680201,1.467565358683261e-09,2.75184621770334e-12,1.2111592288130052e-12,-3.3957435233644878e-25,-1.1411855932809155e-17,2.18489762843131e-24,sedih,
18,3157,0.0007417470105919897,2.858971458992329e-08,1.3641313373060519e-11,1.1373645881580056e-12,-4.259043911751609e-24,-8.133675344024208e-17,-1.3895722316112115e-24,sedih,
19,3158,0.0007485147565369384,3.859312464979571e-08,1.3171140117721723e-11,5.902399104508584e-13,-6.237872014958472e-25,1.1357261296300513e-16,-1.5229137641268596e-24,sedih,
20,3163,0.0016184231468702635,2.2303803407171364e-08,2.5773188225395517e-09,2.100833687155413e-10,1.5420014698905643e-19,2.7431283585568817e-14,1.0922571837751973e-20,sedih,
21,3164,0.0007418372902893012,3.162901557697084e-09,6.572594018906306e-12,2.654310372579737e-13,1.1205198969787252e-25,1.0889526824486041e-17,-3.3219825724355124e-25,bahagia,
22,3165,0.0008822046922247343,7.332836537126141e-09,3.254469278071022e-11,1.9362555868644647e-12,1.5365883873472e-23,1.544729407827081e-16,-3.7102593103074565e-25,sedih,
23,3166,0.0008172068441069925,5.129451791237389e-08,2.5594853379645013e-11,2.355779423559016e-13,1.8352939716604419e-25,5.190581694980507e-17,-5.485804615713911e-25,sedih,
24,3174,0.0007252523147083853,6.071213469060686e-11,8.76295244174296e-15,4.196002290134895e-13,-4.8105845658179316e-27,-3.262830892413258e-18,-2.4984710943131905e-26,sedih,
25,3175,0.000690745076766458,2.087168588248922e-09,5.366275225560864e-12,3.004179747836665e-13,-2.4233876720282806e-25,1.3542590817792631e-17,-2.9456374256231835e-25,sedih,
26,3176,0.000722989674066267,8.242512719039137e-09,1.0073328608618761e-11,2.615363985066985e-13,1.0733199834449236e-25,2.086739842435007e-17,4.1071390697102835e-25,sedih,
