No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,3,0.0007752348506367590,2.13388826200441E-09,8.00390223998685E-13,1.98253231394273E-12,-2.49368634156173E-24,-9.07463286932398E-17,-1.35424018595187E-25,bahagia
2,4,0.0007534092349231010,6.91084334018553E-10,4.90897852386769E-13,1.40268262616154E-12,-4.07626685871759E-25,-3.14892386568333E-17,-1.09023959934032E-24,sedih
3,8,0.0006730605462377600,1.06147009147019E-10,7.56686996060859E-14,6.65109756430322E-14,3.82075789362884E-27,-6.37085103308196E-19,2.76865525929121E-27,sedih
4,9,0.0007740091387009620,2.49178247279556E-09,1.72115821374225E-12,4.41660536105453E-13,1.32313119052743E-25,-1.33483421118657E-17,3.61627716030718E-25,sedih
5,10,0.0007132476829309870,1.81901740253407E-09,1.14038675225275E-12,5.97689210533893E-13,-4.79885002536851E-25,-2.54889705700125E-17,1.14886293550103E-25,sedih
6,13,0.0008104731427933910,3.80638955956895E-09,1.03376339579449E-11,1.10983367342046E-12,-2.81972524646612E-24,-6.52799862408649E-17,-2.48613427833920E-24,sedih
7,14,0.0009046895690673820,6.73389832293383E-08,2.74045210484117E-11,1.12177135142447E-11,-1.90933293016878E-22,-2.90278016806604E-15,4.72104097784707E-23,sedih
8,17,0.0009036440880781130,4.19813069582109E-10,7.04853911697826E-12,1.49584289120432E-11,6.08136746650768E-23,-2.28366073413057E-16,1.41043534800798E-22,sedih
9,18,0.0007308133957099170,4.32745608141771E-11,2.27435519621639E-12,1.12943882440227E-13,5.72295592542276E-26,2.54171975242264E-19,-1.24542921958131E-27,bahagia
10,21,0.0008402137701685630,7.95394012100086E-09,3.28229597436563E-11,3.42227917541573E-13,1.38055301916561E-25,-1.35739657712755E-17,1.13865766416405E-24,bahagia
11,22,0.0009592950218446470,1.46204213462685E-07,1.64545591729145E-11,7.47071230721315E-14,6.36328240144080E-26,2.58630008043095E-17,-5.30247553307695E-26,sedih
12,25,0.0009231411244297660,1.90149288281629E-09,4.21891975347400E-11,5.06388015544521E-12,5.05848023893305E-23,-1.70082666598162E-16,-5.40328585171984E-23,sedih
13,26,0.0009177573593344870,6.73503933608153E-08,3.08495942525502E-12,7.81055089609168E-13,1.10000786277644E-24,-7.76627610571214E-17,5.09809048509131E-25,sedih
14,31,0.0010575368355295400,1.18852599090522E-07,3.37884390958787E-12,1.03677019473440E-11,2.04013767138016E-23,-2.33158403383819E-15,5.78724721459075E-23,sedih
15,32,0.0010738343290369400,2.49395260727829E-09,7.39376514257967E-12,1.82004934190584E-11,1.42678371712685E-22,-2.86097803249056E-17,1.55628800662212E-22,sedih
16,33,0.0009799593802337300,1.62014204107171E-07,1.20178802244593E-10,1.26122192744475E-11,3.43381345306860E-22,-3.64941623984940E-15,3.50987375887432E-22,bahagia
17,34,0.0011080049935537500,3.47401715113463E-09,5.75118575019919E-11,9.48811301618658E-11,2.02420955262950E-21,-9.06103151296663E-16,6.71021160678971E-21,sedih
18,37,0.0007967299432393860,1.21005429551310E-07,1.72318984978733E-12,3.48125057816991E-12,-6.02460770118600E-24,1.15275567628017E-15,-6.03364460405975E-24,sedih
19,38,0.0007144578337863840,2.28253201081914E-09,4.36023214364396E-12,2.66508464828852E-13,1.85173886213899E-25,-1.07869038939397E-17,-2.19650820989082E-25,sedih
20,42,0.0008938877023099130,1.34245650968352E-07,4.29115384021683E-12,1.94967134800491E-11,1.19330156906955E-22,2.75790226845287E-15,1.32523951571530E-22,sedih
21,43,0.0012436343667449900,2.18217770396875E-07,2.37175733338061E-11,1.25382977130818E-10,2.36739796275474E-21,-4.60110003795927E-14,6.41450678375589E-21,sedih
22,44,0.0008581147982485540,9.22656157482572E-08,3.20513202217894E-11,7.98568869160516E-12,9.64252222421303E-23,7.12713430836131E-16,8.38125302638543E-23,sedih
23,48,0.0007560930044680200,1.46756535868326E-09,2.75184621770334E-12,1.21115922881300E-12,-3.39574352336448E-25,-1.14118559328091E-17,2.18489762843131E-24,sedih
24,49,0.0007417470105919890,2.85897145899232E-08,1.36413133730605E-11,1.13736458815800E-12,-4.25904391175160E-24,-8.13367534402420E-17,-1.38957223161121E-24,sedih
25,50,0.0007485147565369380,3.85931246497957E-08,1.31711401177217E-11,5.90239910450858E-13,-6.23787201495847E-25,1.13572612963005E-16,-1.52291376412685E-24,bahagia
26,55,0.0016184231468702600,2.23038034071713E-08,2.57731882253955E-09,2.10083368715541E-10,1.54200146989056E-19,2.74312835855688E-14,1.09225718377519E-20,takut
27,56,0.0007418372902893010,3.16290155769708E-09,6.57259401890630E-12,2.65431037257973E-13,1.12051989697872E-25,1.08895268244860E-17,-3.32198257243551E-25,sedih
28,57,0.0008822046922247340,7.33283653712614E-09,3.25446927807102E-11,1.93625558686446E-12,1.53658838734720E-23,1.54472940782708E-16,-3.71025931030745E-25,bahagia
29,58,0.0008172068441069920,5.12945179123738E-08,2.55948533796450E-11,2.35577942355901E-13,1.83529397166044E-25,5.19058169498050E-17,-5.48580461571391E-25,sedih
30,66,0.0007252523147083850,6.07121346906068E-11,8.76295244174296E-15,4.19600229013489E-13,-4.81058456581793E-27,-3.26283089241325E-18,-2.49847109431319E-26,sedih
31,67,0.0006907450767664580,2.08716858824892E-09,5.36627522556086E-12,3.00417974783666E-13,-2.42338767202828E-25,1.35425908177926E-17,-2.94563742562318E-25,sedih
32,68,0.0007229896740662670,8.24251271903913E-09,1.00733286086187E-11,2.61536398506698E-13,1.07331998344492E-25,2.08673984243500E-17,4.10713906971028E-25,sedih
33,69,0.0006821654305259440,6.00095785315091E-09,2.76403943103710E-12,2.07611637215597E-13,3.42903198720601E-26,-7.80384012367268E-18,-1.53487642222108E-25,sedih
34,70,0.0007263833435530980,5.24766723943576E-10,4.33913596101190E-13,6.23936012458346E-14,1.83783585876272E-27,-5.16429249807516E-19,-1.01004052760132E-26,sedih
35,71,0.0009290356263007190,9.39237819622779E-10,2.48377725427559E-10,5.11786158278363E-13,5.53978923632450E-24,1.43657536701911E-17,-1.61421079199434E-24,sedih
36,72,0.0007063407864579730,2.24940549775340E-08,1.55595489545899E-12,2.18808080635735E-13,-1.38198684114904E-26,-1.60860736799233E-17,-1.26921201120259E-25,sedih
37,79,0.0007157611195502470,1.87419706219497E-09,1.95013320838842E-11,9.65723986803543E-14,-8.11904675069515E-26,4.11449442987452E-18,1.04747812174122E-25,sedih
38,80,0.0007089090697173380,2.18046416450306E-09,3.56922487115509E-12,2.76221413540340E-13,-1.23515334569277E-25,-1.00619826465004E-17,2.44879861383350E-25,sedih
39,81,0.0007148575745580740,7.64308180441928E-11,5.60117047393847E-13,1.93853656539811E-13,1.24708906042029E-26,7.48738527099763E-19,-6.26486911809455E-26,sedih
40,82,0.0007616716771826610,4.82537053044708E-08,5.62433458479332E-12,6.60644659495945E-12,3.95054635598497E-24,1.25715121052063E-16,-4.00762982203017E-23,sedih
41,83,0.0006899077650198260,7.35296486804255E-11,1.62289700650769E-12,2.76133713297843E-13,6.86592351862796E-26,-2.24987801976254E-18,-1.71628220720254E-25,sedih
42,84,0.0008411077071452570,1.18075271669843E-08,2.65964641712493E-11,5.17280240208303E-13,-2.67693965686816E-25,5.58585090165176E-17,-1.89990604783980E-24,sedih
43,89,0.0008014486392909180,4.99929366623525E-09,1.16096737986815E-11,1.48522823716555E-12,-6.15320184643327E-24,-9.64540895305880E-17,4.17761758185325E-25,sedih
44,90,0.0008181085213609830,8.39212681521547E-09,1.63621590213177E-11,5.40588782861644E-12,-2.59256026850833E-23,-3.31742209916618E-16,4.37350081519017E-23,sedih
45,91,0.0032417356829831200,8.93706380506440E-07,1.58118831009738E-08,9.75833727761942E-09,1.16053100258589E-16,6.24675044352574E-12,-3.49956837478209E-17,natural
46,92,0.0007187570518759260,3.93439353612431E-10,1.83872441903672E-12,1.02341374046868E-13,-2.69392146527010E-26,1.40401562340569E-18,-3.52874618943866E-26,sedih
47,99,0.0009680393922254960,4.37358090930144E-08,1.71096824187111E-11,2.96091560132674E-11,3.10556721631625E-22,-3.28301284008663E-15,-5.89656400928026E-22,sedih
48,100,0.0009293980792378440,1.36008209350758E-07,3.66201520922827E-11,6.23580454260748E-12,9.37295387672836E-23,-2.18115195205613E-15,9.71904895605200E-24,sedih
49,101,0.0011035973397133500,1.55432327324942E-07,2.32604390602325E-10,5.50105436613995E-11,4.20608996087483E-21,-1.92446975514997E-14,-4.58591576999035E-21,bahagia
50,102,0.0010852326196523400,3.44290342445187E-08,4.09526269153556E-11,6.85396900313288E-11,3.60893938960005E-21,7.39460923273477E-15,4.01755842039256E-22,bahagia
51,103,0.0009083219303133120,5.80583186248701E-08,6.09000492909266E-11,5.33961455873598E-12,1.16504848043999E-23,-1.20249014253959E-15,-9.55809081066150E-23,sedih
52,104,0.0009389328323858380,2.89777728499974E-07,5.65569290950120E-11,3.53505333832257E-12,3.86245084193143E-23,1.24205558075202E-15,3.17271967675184E-23,sedih
53,110,0.0007193618634138950,4.26007347475207E-09,1.32003276540127E-11,5.96059967302026E-14,9.59037108535637E-30,3.50469397814914E-18,-5.28721876748675E-26,sedih
54,111,0.0007078032021256310,1.17934014827228E-09,9.52728335710911E-13,6.27649616289546E-13,-2.81087872762506E-25,-1.66022135587748E-17,-3.95676759025690E-25,sedih
55,112,0.0007615828843336730,1.57416716206026E-09,2.61510783490002E-11,2.29327185975123E-12,9.43542795391451E-24,-7.52577303710610E-17,-1.50455552629501E-23,sedih
56,113,0.0007022464709491350,8.49741340464230E-09,1.35837612868893E-11,1.55085653657136E-14,-6.97656313864982E-27,-1.29701202945444E-18,1.41269294697377E-27,sedih
57,114,0.0007413583578888060,2.01699239428288E-09,1.32558638830155E-11,2.59599315006949E-14,-2.68455258481327E-28,-5.89565952716429E-19,-1.52262108679217E-26,sedih
58,121,0.0049820731535145800,4.28629817351190E-06,4.95897145351634E-09,2.96734213132629E-09,9.66584910039846E-18,4.93476054429290E-12,-6.01152086918380E-18,natural
59,122,0.0007406472118727230,6.76089015883114E-10,1.39293448726637E-12,5.42587697569260E-13,-3.27156488364785E-25,1.41081527760674E-17,3.39814674915443E-25,sedih
60,123,0.0016525696953318700,1.00171606642719E-06,9.01598703897363E-11,7.02086033757233E-12,1.45170595357369E-22,-4.25718246436604E-15,1.00636131736361E-22,bahagia
61,124,0.0008108882258623070,9.57976824565438E-09,6.49385160084985E-12,2.14336006196730E-12,-2.77678962324331E-24,-1.07407463641221E-16,7.49877769976735E-24,sedih
62,125,0.0008786841679962480,1.01737052750320E-08,5.30655810332768E-12,5.83099102398983E-13,-4.60427824510527E-25,-3.78767728521185E-17,-9.16550647204325E-25,sedih
63,126,0.0006785415711988650,4.20190861171555E-13,8.11006373383793E-13,1.65709712995761E-15,-2.61147099843372E-29,3.45414002156620E-22,5.48486742255981E-29,sedih
64,131,0.0008391990585459210,3.20652333209399E-08,5.39783381132713E-11,3.99449867379188E-12,-4.14275507471231E-23,6.57624709660243E-16,4.15227354051929E-23,sedih
65,132,0.0011312152441054200,1.96305719602814E-08,2.60374924103162E-10,4.31236430792010E-11,-2.64317397225501E-21,4.75987729307031E-15,-3.72751285494506E-21,sedih
66,133,0.0009895794149152800,3.98660034491997E-08,1.35946063833129E-11,3.06434909793217E-11,-6.16913886797253E-22,5.91924452191537E-15,1.02963597730939E-22,sedih
