No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,3,0.000775234850636759,2.13388826200441E-09,8.00390223998685E-13,1.98253231394273E-12,-2.49368634156173E-24,-9.07463286932398E-17,-1.35424018595187E-25,bahagia
2,4,0.000753409234923101,6.91084334018553E-10,4.90897852386769E-13,1.40268262616154E-12,-4.07626685871759E-25,-3.14892386568333E-17,-1.09023959934032E-24,sedih
3,8,0.000673060546237760,1.06147009147019E-10,7.56686996060859E-14,6.65109756430322E-14,3.82075789362884E-27,-6.37085103308196E-19,2.76865525929121E-27,sedih
4,9,0.000774009138700962,2.49178247279556E-09,1.72115821374225E-12,4.41660536105453E-13,1.32313119052743E-25,-1.33483421118657E-17,3.61627716030718E-25,sedih
5,10,0.000713247682930987,1.81901740253407E-09,1.14038675225275E-12,5.97689210533893E-13,-4.79885002536851E-25,-2.54889705700125E-17,1.14886293550103E-25,bahagia
6,13,0.000810473142793391,3.80638955956895E-09,1.03376339579449E-11,1.10983367342046E-12,-2.81972524646612E-24,-6.52799862408649E-17,-2.48613427833920E-24,sedih
7,14,0.000904689569067382,6.73389832293383E-08,2.74045210484117E-11,1.12177135142447E-11,-1.90933293016878E-22,-2.90278016806604E-15,4.72104097784707E-23,bahagia
8,17,0.000730813395709917,4.32745608141771E-11,2.27435519621639E-12,1.12943882440227E-13,5.72295592542276E-26,2.54171975242264E-19,-1.24542921958131E-27,sedih
9,18,0.000903644088078113,4.19813069582109E-10,7.04853911697826E-12,1.49584289120432E-11,6.08136746650768E-23,-2.28366073413057E-16,1.41043534800798E-22,bahagia
10,21,0.000840213770168563,7.95394012100086E-09,3.28229597436563E-11,3.42227917541573E-13,1.38055301916561E-25,-1.35739657712755E-17,1.13865766416405E-24,sedih
11,22,0.000959295021844647,1.46204213462685E-07,1.64545591729145E-11,7.47071230721315E-14,6.36328240144080E-26,2.58630008043095E-17,-5.30247553307695E-26,bahagia
12,25,0.000923141124429766,1.90149288281629E-09,4.21891975347400E-11,5.06388015544521E-12,5.05848023893305E-23,-1.70082666598162E-16,-5.40328585171984E-23,bahagia
13,26,0.000917757359334487,6.73503933608153E-08,3.08495942525502E-12,7.81055089609168E-13,1.10000786277644E-24,-7.76627610571214E-17,5.09809048509131E-25,sedih
14,31,0.001057536835529540,1.18852599090522E-07,3.37884390958787E-12,1.03677019473440E-11,2.04013767138016E-23,-2.33158403383819E-15,5.78724721459075E-23,sedih
15,32,0.000979959380233730,1.62014204107171E-07,1.20178802244593E-10,1.26122192744475E-11,3.43381345306860E-22,-3.64941623984940E-15,3.50987375887432E-22,bahagia
16,33,0.001073834329036940,2.49395260727829E-09,7.39376514257967E-12,1.82004934190584E-11,1.42678371712685E-22,-2.86097803249056E-17,1.55628800662212E-22,sedih
17,34,0.001108004993553750,3.47401715113463E-09,5.75118575019919E-11,9.48811301618658E-11,2.02420955262950E-21,-9.06103151296663E-16,6.71021160678971E-21,bahagia
18,37,0.000796729943239386,1.21005429551310E-07,1.72318984978733E-12,3.48125057816991E-12,-6.02460770118600E-24,1.15275567628017E-15,-6.03364460405975E-24,sedih
19,38,0.000714457833786384,2.28253201081914E-09,4.36023214364396E-12,2.66508464828852E-13,1.85173886213899E-25,-1.07869038939397E-17,-2.19650820989082E-25,bahagia
20,42,0.000893887702309913,1.34245650968352E-07,4.29115384021683E-12,1.94967134800491E-11,1.19330156906955E-22,2.75790226845287E-15,1.32523951571530E-22,bahagia
21,43,0.001243634366744990,2.18217770396875E-07,2.37175733338061E-11,1.25382977130818E-10,2.36739796275474E-21,-4.60110003795927E-14,6.41450678375589E-21,sedih
22,44,0.000858114798248554,9.22656157482572E-08,3.20513202217894E-11,7.98568869160516E-12,9.64252222421303E-23,7.12713430836131E-16,8.38125302638543E-23,bahagia
23,48,0.000756093004468020,1.46756535868326E-09,2.75184621770334E-12,1.21115922881300E-12,-3.39574352336448E-25,-1.14118559328091E-17,2.18489762843131E-24,sedih
24,49,0.000741747010591989,2.85897145899232E-08,1.36413133730605E-11,1.13736458815800E-12,-4.25904391175160E-24,-8.13367534402420E-17,-1.38957223161121E-24,bahagia
25,50,0.000748514756536938,3.85931246497957E-08,1.31711401177217E-11,5.90239910450858E-13,-6.23787201495847E-25,1.13572612963005E-16,-1.52291376412685E-24,bahagia
26,55,0.001618423146870260,2.23038034071713E-08,2.57731882253955E-09,2.10083368715541E-10,1.54200146989056E-19,2.74312835855688E-14,1.09225718377519E-20,sedih
27,56,0.000741837290289301,3.16290155769708E-09,6.57259401890630E-12,2.65431037257973E-13,1.12051989697872E-25,1.08895268244860E-17,-3.32198257243551E-25,sedih
28,57,0.000882204692224734,7.33283653712614E-09,3.25446927807102E-11,1.93625558686446E-12,1.53658838734720E-23,1.54472940782708E-16,-3.71025931030745E-25,bahagia
29,58,0.000817206844106992,5.12945179123738E-08,2.55948533796450E-11,2.35577942355901E-13,1.83529397166044E-25,5.19058169498050E-17,-5.48580461571391E-25,bahagia
30,66,0.000690745076766458,2.08716858824892E-09,5.36627522556086E-12,3.00417974783666E-13,-2.42338767202828E-25,1.35425908177926E-17,-2.94563742562318E-25,sedih
31,67,0.000725252314708385,6.07121346906068E-11,8.76295244174296E-15,4.19600229013489E-13,-4.81058456581793E-27,-3.26283089241325E-18,-2.49847109431319E-26,sedih
32,68,0.000722989674066267,8.24251271903913E-09,1.00733286086187E-11,2.61536398506698E-13,1.07331998344492E-25,2.08673984243500E-17,4.10713906971028E-25,sedih
33,69,0.000682165430525944,6.00095785315091E-09,2.76403943103710E-12,2.07611637215597E-13,3.42903198720601E-26,-7.80384012367268E-18,-1.53487642222108E-25,bahagia
34,70,0.000726383343553098,5.24766723943576E-10,4.33913596101190E-13,6.23936012458346E-14,1.83783585876272E-27,-5.16429249807516E-19,-1.01004052760132E-26,sedih
35,71,0.000929035626300719,9.39237819622779E-10,2.48377725427559E-10,5.11786158278363E-13,5.53978923632450E-24,1.43657536701911E-17,-1.61421079199434E-24,bahagia
36,72,0.000706340786457973,2.24940549775340E-08,1.55595489545899E-12,2.18808080635735E-13,-1.38198684114904E-26,-1.60860736799233E-17,-1.26921201120259E-25,sedih
