No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi,,,,,
1,1,0.00077523500000000,2.13E-09,8.00E-13,1.98E-12,-2.49E-24,-9.07E-17,-3.79E-24,bahagia,,,,,
2,2,0.00075340900000000,6.91E-10,4.91E-13,1.40E-12,-4.08E-25,-3.15E-17,1.08E-24,sedih,,,,0.000775234850636758,0.000753409
3,5,0.00067306100000000,1.06E-10,7.57E-14,6.65E-14,3.82E-27,-6.37E-19,-2.97E-27,sedih,,,,2.13E-09,6.91E-10
4,6,0.00077400900000000,2.49E-09,1.72E-12,4.42E-13,1.32E-25,-1.33E-17,-1.51E-26,sedih,,,,8.00E-13,4.91E-13
5,7,0.00071324800000000,1.82E-09,1.14E-12,5.98E-13,-4.80E-25,-2.55E-17,-3.67E-25,sedih,,,,1.98E-12,1.40E-12
6,11,0.00081047300000000,3.81E-09,1.03E-11,1.11E-12,-2.82E-24,-6.53E-17,2.51E-25,sedih,,,,-2.49E-24,-4.08E-25
7,12,0.00090469000000000,6.73E-08,2.74E-11,1.12E-11,-1.91E-22,-2.90E-15,-1.31E-22,sedih,,,,-9.07E-17,-3.15E-17
8,15,0.00073081300000000,4.33E-11,2.27E-12,1.13E-13,5.72E-26,2.54E-19,3.04E-26,sedih,,,,-3.79E-24,1.08E-24
9,16,0.00090364400000000,4.20E-10,7.05E-12,1.50E-11,6.08E-23,-2.28E-16,-1.84E-22,bahagia,,,,,
10,19,0.00084021400000000,7.95E-09,3.28E-11,3.42E-13,1.38E-25,-1.36E-17,1.41E-26,bahagia,,,,,
11,20,0.00095929500000000,1.46E-07,1.65E-11,7.47E-14,6.36E-26,2.59E-17,9.66E-26,sedih,,,,,
12,23,0.00092314100000000,1.90E-09,4.22E-11,5.06E-12,5.06E-23,-1.70E-16,-3.60E-24,sedih,,,,,
13,24,0.00091775700000000,6.74E-08,3.08E-12,7.81E-13,1.10E-24,-7.77E-17,-5.82E-25,sedih,,,,,
14,27,0.00105753700000000,1.19E-07,3.38E-12,1.04E-11,2.04E-23,-2.33E-15,-8.19E-23,sedih,,,,,
15,28,0.00097995900000000,1.62E-07,1.20E-10,1.26E-11,3.43E-22,-3.65E-15,-3.76E-23,sedih,,,,,
16,29,0.00107383400000000,2.49E-09,7.39E-12,1.82E-11,1.43E-22,-2.86E-17,-2.45E-22,bahagia,,,,,
17,30,0.00110800500000000,3.47E-09,5.75E-11,9.49E-11,2.02E-21,-9.06E-16,-1.77E-21,sedih,,,,,
18,35,0.00071445800000000,2.28E-09,4.36E-12,2.67E-13,1.85E-25,-1.08E-17,2.21E-25,sedih,,,,,
19,36,0.00079673000000000,1.21E-07,1.72E-12,3.48E-12,-6.02E-24,1.15E-15,3.23E-25,sedih,,,,,
20,39,0.00089388800000000,1.34E-07,4.29E-12,1.95E-11,1.19E-22,2.76E-15,-2.78E-23,sedih,,,,,
21,40,0.00124363400000000,2.18E-07,2.37E-11,1.25E-10,2.37E-21,-4.60E-14,-1.17E-20,sedih,,,,,
