No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,625,0.0007752348506367586,2.133888262004688e-09,8.00390223998433e-13,1.982532313942676e-12,-2.4936863415611943e-24,-9.074632869324559e-17,-3.787249182977528e-24,sedih,
2,626,0.0007534092349231051,6.910843340185447e-10,4.908978523867853e-13,1.402682626161544e-12,-4.076266858719311e-25,-3.148923865683296e-17,1.083661688360236e-24,sedih,
3,629,0.0006730605462377634,1.0614700914699508e-10,7.566869960606758e-14,6.651097564300096e-14,3.8207578936253594e-27,-6.370851033077942e-19,-2.971826607948178e-27,sedih,
4,630,0.0007740091387009591,2.491782472795757e-09,1.7211582137422858e-12,4.416605361054904e-13,1.3231311905276485e-25,-1.3348342111867161e-17,-1.5081930697706813e-26,sedih,
5,631,0.0007132476829309893,1.8190174025340037e-09,1.1403867522527275e-12,5.976892105339592e-13,-4.798850025369239e-25,-2.548897057001485e-17,-3.6706337887259488e-25,sedih,
6,635,0.0008104731427933914,3.806389559568539e-09,1.0337633957945122e-11,1.1098336734204013e-12,-2.8197252464658764e-24,-6.527998624085761e-17,2.51335866549781e-25,bahagia,
7,636,0.0009046895690673832,6.733898322933822e-08,2.7404521048412564e-11,1.1217713514244345e-11,-1.9093329301687193e-22,-2.9027801680659467e-15,-1.3097598855207898e-22,sedih,
8,639,0.0009036440880781106,4.1981306958209584e-10,7.048539116978347e-12,1.4958428912043188e-11,6.081367466507834e-23,-2.2836607341303813e-16,-1.8441338113556904e-22,sedih,
9,640,0.0007308133957099193,4.3274560814188454e-11,2.274355196216261e-12,1.1294388244023892e-13,5.722955925423432e-26,2.541719752421991e-19,3.043775499087229e-26,sedih,
10,643,0.0008402137701685652,7.953940121000768e-09,3.2822959743660236e-11,3.4222791754123594e-13,1.3805530191727598e-25,-1.3573965771277241e-17,1.4131014211909873e-26,sedih,
11,644,0.0009592950218446467,1.462042134626825e-07,1.6454559172914747e-11,7.470712307223783e-14,6.363282401451583e-26,2.586300080435068e-17,9.662903142118116e-26,sedih,
12,647,0.0009231411244297629,1.9014928828163058e-09,4.2189197534741577e-11,5.063880155445102e-12,5.0584802389318305e-23,-1.7008266659813786e-16,-3.601164011643779e-24,sedih,
13,648,0.000917757359334484,6.73503933608152e-08,3.0849594252548357e-12,7.810550896091575e-13,1.1000078627762295e-24,-7.76627610570835e-17,-5.822657165317104e-25,sedih,
14,651,0.0010575368355295472,1.1885259909052215e-07,3.3788439095876756e-12,1.0367701947343897e-11,2.0401376713797e-23,-2.331584033838246e-15,-8.192324160937607e-23,sedih,
15,652,0.0010738343290369397,2.493952607278309e-09,7.393765142580113e-12,1.820049341905859e-11,1.426783717126886e-22,-2.860978032489791e-17,-2.448823730928456e-22,sedih,
16,653,0.0009799593802337333,1.6201420410717162e-07,1.2017880224459556e-10,1.2612219274447364e-11,3.4338134530683676e-22,-3.649416239849454e-15,-3.756428310266874e-23,sedih,
17,654,0.001108004993553756,3.4740171511345893e-09,5.7511857501993344e-11,9.488113016186522e-11,2.0242095526296637e-21,-9.061031512965946e-16,-1.7708324016285544e-21,sedih,
18,659,0.0007967299432393871,1.210054295513113e-07,1.7231898497873824e-12,3.4812505781699204e-12,-6.024607701185958e-24,1.152755676280173e-15,3.2329554330219634e-25,sedih,
19,660,0.0007144578337863851,2.2825320108191007e-09,4.360232143644108e-12,2.6650846482882994e-13,1.8517388621381255e-25,-1.0786903893940271e-17,2.205902779971491e-25,sedih,
20,663,0.000893887702309913,1.3424565096835218e-07,4.2911538402164e-12,1.949671348004817e-11,1.1933015690694025e-22,2.7579022684525686e-15,-2.775926654798814e-23,sedih,
21,664,0.0012436343667449991,2.182177703968765e-07,2.371757333380708e-11,1.2538297713081904e-10,2.3673979627547694e-21,-4.6011000379593204e-14,-1.1709091673865376e-20,bahagia,
22,665,0.000858114798248552,9.22656157482558e-08,3.2051320221789335e-11,7.985688691605138e-12,9.642522224213018e-23,7.127134308361406e-16,9.441606993240353e-24,bahagia,
23,669,0.0007560930044680184,1.4675653586830906e-09,2.75184621770326e-12,1.211159228812949e-12,-3.3957435233594644e-25,-1.1411855932810239e-17,-1.9904113584114126e-24,bahagia,
24,670,0.0007417470105919941,2.8589714589922166e-08,1.3641313373060123e-11,1.1373645881579682e-12,-4.259043911751083e-24,-8.133675344025653e-17,-3.666307381827354e-24,sedih,
25,671,0.0007485147565369376,3.8593124649797216e-08,1.3171140117722025e-11,5.902399104507955e-13,-6.237872014954908e-25,1.135726129629923e-16,3.5464423403022558e-25,bahagia,
26,675,0.0016184231468702663,2.2303803407171357e-08,2.577318822539544e-09,2.1008336871554165e-10,1.542001469890566e-19,2.7431283585568887e-14,1.714349443422284e-20,bahagia,
27,676,0.0008822046922247359,7.3328365371262906e-09,3.254469278071142e-11,1.936255586864319e-12,1.5365883873470615e-23,1.5447294078270472e-16,3.952790856918957e-24,sedih,
28,677,0.0008172068441069924,5.129451791237382e-08,2.5594853379645847e-11,2.3557794235610006e-13,1.8352939716630812e-25,5.1905816949849036e-17,4.298505429957782e-25,sedih,
29,678,0.0007418372902892995,3.1629015576970827e-09,6.572594018905931e-12,2.6543103725791023e-13,1.1205198969776252e-25,1.0889526824484779e-17,3.210916942993539e-25,sedih,
30,683,0.000725252314708378,6.071213469055348e-11,8.76295244174941e-15,4.1960022901358613e-13,-4.8105845658289784e-27,-3.262830892412658e-18,3.9490192218862744e-26,sedih,
