No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi,,,,,
1,3,0.000775235,2.13E-09,8.00E-13,1.98E-12,-2.49E-24,-9.07E-17,-1.35E-25,bahagia,,,,,
2,4,0.000753409,6.91E-10,4.91E-13,1.40E-12,-4.08E-25,-3.15E-17,-1.09E-24,sedih,,,,0.000775234850636759,0.000753409234923101
3,8,0.000673061,1.06E-10,7.57E-14,6.65E-14,3.82E-27,-6.37E-19,2.77E-27,sedih,,,,2.13388826200441E-09,6.91084334018553E-10
4,9,0.000774009,2.49E-09,1.72E-12,4.42E-13,1.32E-25,-1.33E-17,3.62E-25,sedih,,,,8.00390223998685E-13,4.90897852386769E-13
5,10,0.000713248,1.82E-09,1.14E-12,5.98E-13,-4.80E-25,-2.55E-17,1.15E-25,sedih,,,,1.98253231394273E-12,1.40268262616154E-12
6,13,0.000810473,3.81E-09,1.03E-11,1.11E-12,-2.82E-24,-6.53E-17,-2.49E-24,sedih,,,,-2.49368634156173E-24,-4.07626685871759E-25
7,14,0.00090469,6.73E-08,2.74E-11,1.12E-11,-1.91E-22,-2.90E-15,4.72E-23,sedih,,,,-9.07463286932398E-17,-3.14892386568333E-17
8,17,0.000903644,4.20E-10,7.05E-12,1.50E-11,6.08E-23,-2.28E-16,1.41E-22,sedih,,,,-1.35424018595187E-25,-1.09023959934032E-24
9,18,0.000730813,4.33E-11,2.27E-12,1.13E-13,5.72E-26,2.54E-19,-1.25E-27,sedih,,,,,
10,21,0.000840214,7.95E-09,3.28E-11,3.42E-13,1.38E-25,-1.36E-17,1.14E-24,sedih,,,,,
11,22,0.000959295,1.46E-07,1.65E-11,7.47E-14,6.36E-26,2.59E-17,-5.30E-26,sedih,,,,,
12,25,0.000923141,1.90E-09,4.22E-11,5.06E-12,5.06E-23,-1.70E-16,-5.40E-23,sedih,,,,,
13,26,0.000917757,6.74E-08,3.08E-12,7.81E-13,1.10E-24,-7.77E-17,5.10E-25,sedih,,,,,
14,31,0.001057537,1.19E-07,3.38E-12,1.04E-11,2.04E-23,-2.33E-15,5.79E-23,bahagia,,,,,
15,32,0.001073834,2.49E-09,7.39E-12,1.82E-11,1.43E-22,-2.86E-17,1.56E-22,bahagia,,,,,
16,33,0.000979959,1.62E-07,1.20E-10,1.26E-11,3.43E-22,-3.65E-15,3.51E-22,sedih,,,,,
17,34,0.001108005,3.47E-09,5.75E-11,9.49E-11,2.02E-21,-9.06E-16,6.71E-21,sedih,,,,,
18,37,0.00079673,1.21E-07,1.72E-12,3.48E-12,-6.02E-24,1.15E-15,-6.03E-24,sedih,,,,,
19,38,0.000714458,2.28E-09,4.36E-12,2.67E-13,1.85E-25,-1.08E-17,-2.20E-25,sedih,,,,,
