No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi,,,,,
1,1,0.000775235,2.13E-09,8.00E-13,1.98E-12,-2.49E-24,-9.07E-17,-3.79E-24,bahagia,,,,,
2,2,0.000753409,6.91E-10,4.91E-13,1.40E-12,-4.08E-25,-3.15E-17,1.08E-24,sedih,,,,0.000775234850636758,0.000753409234923105
3,5,0.000673061,1.06E-10,7.57E-14,6.65E-14,3.82E-27,-6.37E-19,-2.97E-27,sedih,,,,2.13388826200468E-09,6.91084334018544E-10
4,6,0.000774009,2.49E-09,1.72E-12,4.42E-13,1.32E-25,-1.33E-17,-1.51E-26,sedih,,,,8.00390223998433E-13,4.90897852386785E-13
5,7,0.000713248,1.82E-09,1.14E-12,5.98E-13,-4.80E-25,-2.55E-17,-3.67E-25,sedih,,,,1.98253231394267E-12,1.40268262616154E-12
6,11,0.000810473,3.81E-09,1.03E-11,1.11E-12,-2.82E-24,-6.53E-17,2.51E-25,sedih,,,,-2.49368634156119E-24,-4.07626685871931E-25
7,12,0.00090469,6.73E-08,2.74E-11,1.12E-11,-1.91E-22,-2.90E-15,-1.31E-22,sedih,,,,-9.07463286932455E-17,-3.14892386568329E-17
8,15,0.000730813,4.33E-11,2.27E-12,1.13E-13,5.72E-26,2.54E-19,3.04E-26,sedih,,,,-3.78724918297752E-24,1.08366168836023E-24
9,16,0.000903644,4.20E-10,7.05E-12,1.50E-11,6.08E-23,-2.28E-16,-1.84E-22,bahagia,,,,,
10,19,0.000840214,7.95E-09,3.28E-11,3.42E-13,1.38E-25,-1.36E-17,1.41E-26,bahagia,,,,,
11,20,0.000959295,1.46E-07,1.65E-11,7.47E-14,6.36E-26,2.59E-17,9.66E-26,sedih,,,,,
12,23,0.000923141,1.90E-09,4.22E-11,5.06E-12,5.06E-23,-1.70E-16,-3.60E-24,sedih,,,,,
13,24,0.000917757,6.74E-08,3.08E-12,7.81E-13,1.10E-24,-7.77E-17,-5.82E-25,sedih,,,,,
14,27,0.001057537,1.19E-07,3.38E-12,1.04E-11,2.04E-23,-2.33E-15,-8.19E-23,sedih,,,,,
15,28,0.000979959,1.62E-07,1.20E-10,1.26E-11,3.43E-22,-3.65E-15,-3.76E-23,sedih,,,,,
16,29,0.001073834,2.49E-09,7.39E-12,1.82E-11,1.43E-22,-2.86E-17,-2.45E-22,bahagia,,,,,
17,30,0.001108005,3.47E-09,5.75E-11,9.49E-11,2.02E-21,-9.06E-16,-1.77E-21,sedih,,,,,
18,35,0.000714458,2.28E-09,4.36E-12,2.67E-13,1.85E-25,-1.08E-17,2.21E-25,sedih,,,,,
19,36,0.00079673,1.21E-07,1.72E-12,3.48E-12,-6.02E-24,1.15E-15,3.23E-25,sedih,,,,,
20,39,0.000893888,1.34E-07,4.29E-12,1.95E-11,1.19E-22,2.76E-15,-2.78E-23,sedih,,,,,
21,40,0.001243634,2.18E-07,2.37E-11,1.25E-10,2.37E-21,-4.60E-14,-1.17E-20,sedih,,,,,
22,41,0.000858115,9.23E-08,3.21E-11,7.99E-12,9.64E-23,7.13E-16,9.44E-24,sedih,,,,,
23,45,0.000756093,1.47E-09,2.75E-12,1.21E-12,-3.40E-25,-1.14E-17,-1.99E-24,sedih,,,,,
24,46,0.000741747,2.86E-08,1.36E-11,1.14E-12,-4.26E-24,-8.13E-17,-3.67E-24,sedih,,,,,
25,47,0.000748515,3.86E-08,1.32E-11,5.90E-13,-6.24E-25,1.14E-16,3.55E-25,bahagia,,,,,
26,51,0.001618423,2.23E-08,2.58E-09,2.10E-10,1.54E-19,2.74E-14,1.71E-20,takut,,,,,
27,52,0.000741837,3.16E-09,6.57E-12,2.65E-13,1.12E-25,1.09E-17,3.21E-25,sedih,,,,,
28,53,0.000882205,7.33E-09,3.25E-11,1.94E-12,1.54E-23,1.54E-16,3.95E-24,bahagia,,,,,
29,54,0.000817207,5.13E-08,2.56E-11,2.36E-13,1.84E-25,5.19E-17,4.30E-25,sedih,,,,,
30,59,0.000690745,2.09E-09,5.37E-12,3.00E-13,-2.42E-25,1.35E-17,8.27E-26,sedih,,,,,
31,60,0.00072299,8.24E-09,1.01E-11,2.62E-13,1.07E-25,2.09E-17,-1.38E-25,sedih,,,,,
32,61,0.000682165,6.00E-09,2.76E-12,2.08E-13,3.43E-26,-7.80E-18,4.61E-26,sedih,,,,,
33,62,0.000725252,6.07E-11,8.76E-15,4.20E-13,-4.81E-27,-3.26E-18,3.95E-26,sedih,,,,,
34,63,0.000726383,5.25E-10,4.34E-13,6.24E-14,1.84E-27,-5.16E-19,1.62E-27,sedih,,,,,
35,64,0.000706341,2.25E-08,1.56E-12,2.19E-13,-1.38E-26,-1.61E-17,1.19E-25,sedih,,,,,
36,65,0.000929036,9.39E-10,2.48E-10,5.12E-13,5.54E-24,1.44E-17,4.54E-25,sedih,,,,,
37,73,0.000708909,2.18E-09,3.57E-12,2.76E-13,-1.24E-25,-1.01E-17,-1.64E-25,sedih,,,,,
38,74,0.000715761,1.87E-09,1.95E-11,9.66E-14,-8.12E-26,4.11E-18,-2.60E-26,sedih,,,,,
39,75,0.000714858,7.64E-11,5.60E-13,1.94E-13,1.25E-26,7.49E-19,-9.74E-27,sedih,,,,,
40,76,0.000689908,7.35E-11,1.62E-12,2.76E-13,6.87E-26,-2.25E-18,1.06E-25,sedih,,,,,
41,77,0.000761672,4.83E-08,5.62E-12,6.61E-12,3.95E-24,1.26E-16,3.36E-24,sedih,,,,,
42,78,0.000841108,1.18E-08,2.66E-11,5.17E-13,-2.68E-25,5.59E-17,1.58E-24,sedih,,,,,
43,85,0.000801449,5.00E-09,1.16E-11,1.49E-12,-6.15E-24,-9.65E-17,6.81E-25,sedih,,,,,
44,86,0.000818109,8.39E-09,1.64E-11,5.41E-12,-2.59E-23,-3.32E-16,6.27E-24,sedih,,,,,
45,87,0.003241736,8.94E-07,1.58E-08,9.76E-09,1.16E-16,6.25E-12,-2.66E-17,natural,,,,,
46,88,0.000718757,3.93E-10,1.84E-12,1.02E-13,-2.69E-26,1.40E-18,3.11E-26,sedih,,,,,
