No,ID Ciri Kode Sendiri,ID Ciri OpenCV,ID File,Target,Hasil Kode Sendiri,Hasil OpenCV,Akurasi Kode Sendiri,Akurasi OpenCV
1,"[265, 266]","[267, 268]",1,"{'WT': 2, 'B': 1, 'N': 1}",{'WS': 2},{'WO': 2},"{'WS': '100.0', 'B': '0', 'N': '0'}","{'WO': '100.0', 'B': '0', 'N': '0'}"
2,"[269, 270, 271]","[272, 273, 274]",2,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 3}","{'WO': 3, 'S': 3}","{'WS': '100.0', 'S': '100.0'}","{'WO': '100.0', 'S': '100.0'}"
3,"[275, 276]","[277, 278]",3,"{'WT': 2, 'S': 2}","{'WS': 2, 'S': 2}","{'WO': 2, 'S': 2}","{'WS': '100.0', 'S': '100.0'}","{'WO': '100.0', 'S': '100.0'}"
4,"[279, 280]","[281, 282]",4,"{'WT': 2, 'N': 2}",{'WS': 2},{'WO': 2},"{'WS': '100.0', 'N': '0'}","{'WO': '100.0', 'N': '0'}"
5,"[283, 284]","[285, 286]",5,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': '100.0', 'T': '0'}","{'WO': '100.0', 'T': '0'}"
6,"[287, 288]","[289, 290]",6,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': '100.0', 'K': '0'}","{'WO': '100.0', 'K': '0'}"
7,"[291, 292, 293, 294]","[295, 296, 297, 298]",7,"{'WT': 4, 'M': 4}",{'WS': 4},{'WO': 4},"{'WS': '100.0', 'M': '0'}","{'WO': '100.0', 'M': '0'}"
8,"[299, 300]","[301, 302]",9,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': '100.0', 'M': '0'}","{'WO': '100.0', 'M': '0'}"
9,"[303, 304, 305]","[306, 307, 308]",10,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 1}","{'WO': 3, 'B': 1}","{'WS': '100.0', 'B': '33.33'}","{'WO': '100.0', 'B': '33.33'}"
10,"[309, 310, 311]","[312, 313, 314]",11,"{'WT': 3, 'B': 3}",{'WS': 3},{'WO': 3},"{'WS': '100.0', 'B': '0'}","{'WO': '100.0', 'B': '0'}"
