No,ID Ciri Kode Sendiri,ID Ciri OpenCV,ID File,Target,Hasil Kode Sendiri,Hasil OpenCV,Akurasi Kode Sendiri,Akurasi OpenCV
1,"[18259, 18260]","[18261, 18262]",1,"{'WT': 2, 'B': 1, 'N': 1}","{'WS': 2, 'B': 2}","{'WO': 2, 'B': 1}","{'WS': 100.0, 'B': 100, 'N': 0}","{'WO': 100.0, 'B': 100.0, 'N': 0}"
2,"[18263, 18264, 18265]","[18266, 18267, 18268]",2,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 2}","{'WO': 3, 'S': 3}","{'WS': 100.0, 'S': 66.66666666666666}","{'WO': 100.0, 'S': 100.0}"
3,"[18269, 18270]","[18271, 18272]",3,"{'WT': 2, 'S': 2}",{'WS': 2},"{'WO': 2, 'S': 2}",{'WS': 100.0},"{'WO': 100.0, 'S': 100.0}"
4,"[18273, 18274]","[18275, 18276]",4,"{'WT': 2, 'N': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
5,"[18277, 18278]","[18279, 18280]",5,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
6,"[18281, 18282]","[18283, 18284]",6,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
7,"[18285, 18286, 18287, 18288]","[18289, 18290, 18291, 18292]",7,"{'WT': 4, 'M': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
8,"[18293, 18294]","[18295, 18296]",9,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
9,"[18297, 18298, 18299]","[18300, 18301, 18302]",10,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 2}","{'WO': 3, 'B': 2}","{'WS': 100.0, 'B': 66.66666666666666}","{'WO': 100.0, 'B': 66.66666666666666}"
10,"[18303, 18304, 18305]","[18306, 18307, 18308]",11,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 2}","{'WO': 3, 'B': 1}","{'WS': 100.0, 'B': 66.66666666666666}","{'WO': 100.0, 'B': 33.33333333333333}"
11,"[18309, 18310, 18311, 18312]","[18313, 18314, 18315, 18316]",12,"{'WT': 4, 'N': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
12,"[18317, 18318, 18319, 18320, 18321, 18322, 18323]","[18324, 18325, 18326, 18327, 18328, 18329, 18330]",13,"{'WT': 7, 'N': 7}",{'WS': 7},{'WO': 7},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
13,"[18331, 18332, 18333, 18334, 18335, 18336]","[18337, 18338, 18339, 18340, 18341, 18342]",14,"{'WT': 6, 'N': 6}",{'WS': 6},{'WO': 6},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
14,"[18343, 18344, 18345, 18346]","[18347, 18348, 18349, 18350]",15,"{'WT': 4, 'N': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
15,"[18351, 18352, 18353, 18354, 18355, 18356]","[18357, 18358, 18359, 18360, 18361, 18362]",16,"{'WT': 7, 'N': 7}",{'WS': 6},{'WO': 6},"{'WS': 85.71428571428571, 'N': 0}","{'WO': 85.71428571428571, 'N': 0}"
16,"[18363, 18364, 18365, 18366, 18367]","[18368, 18369, 18370, 18371, 18372]",17,"{'WT': 5, 'N': 5}",{'WS': 5},{'WO': 5},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
17,"[18373, 18374, 18375, 18376, 18377, 18378]","[18379, 18380, 18381, 18382, 18383, 18384]",18,"{'WT': 6, 'N': 6}",{'WS': 6},{'WO': 6},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
18,"[18385, 18386, 18387, 18388]","[18389, 18390, 18391, 18392]",19,"{'WT': 4, 'B': 1, 'K': 1, 'T': 2}","{'WS': 4, 'B': 3}","{'WO': 4, 'B': 2}","{'WS': 100.0, 'B': 100, 'K': 0, 'T': 0}","{'WO': 100.0, 'B': 100, 'K': 0, 'T': 0}"
19,"[18393, 18394]","[18395, 18396]",20,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
20,"[18397, 18398]","[18399, 18400]",21,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
21,"[18401, 18402, 18403]","[18404, 18405, 18406]",22,"{'WT': 3, 'K': 1, 'N': 2}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'K': 0, 'N': 0}","{'WO': 100.0, 'K': 0, 'N': 0}"
22,"[18407, 18408, 18409]","[18410, 18411, 18412]",23,"{'WT': 3, 'K': 2, 'T': 1}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'K': 0, 'T': 0}","{'WO': 100.0, 'K': 0, 'T': 0}"
23,"[18413, 18414, 18415]","[18416, 18417, 18418]",24,"{'WT': 3, 'T': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
24,"[18419, 18420, 18421]","[18422, 18423, 18424]",25,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
25,"[18425, 18426]","[18427, 18428]",26,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
26,"[18429, 18430]","[18431, 18432]",27,"{'WT': 4, 'K': 4}",{'WS': 2},{'WO': 2},"{'WS': 50.0, 'K': 0}","{'WO': 50.0, 'K': 0}"
27,"[18433, 18434, 18435, 18436]","[18437, 18438, 18439, 18440]",28,"{'WT': 4, 'K': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
28,"[18441, 18442, 18443]","[18444, 18445, 18446]",29,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
29,"[18447, 18448, 18449]","[18450, 18451, 18452]",30,"{'WT': 3, 'T': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
30,"[18453, 18454, 18455, 18456]","[18457, 18458, 18459, 18460]",32,"{'WT': 4, 'K': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
31,"[18461, 18462, 18463]","[18464, 18465, 18466]",33,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
32,"[18467, 18468]","[18469, 18470]",34,"{'WT': 4, 'K': 4}",{'WS': 2},{'WO': 2},"{'WS': 50.0, 'K': 0}","{'WO': 50.0, 'K': 0}"
33,"[18471, 18472]","[18473, 18474]",35,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
34,"[18475, 18476]","[18477, 18478]",36,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
