No,ID Ciri Kode Sendiri,ID Ciri OpenCV,ID File,Target,Hasil Kode Sendiri,Hasil OpenCV,Akurasi Kode Sendiri,Akurasi OpenCV
1,"[8899, 8900]","[8901, 8902]",1,"{'WT': 2, 'B': 1, 'N': 1}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'B': 0, 'N': 0}","{'WO': 100.0, 'B': 0, 'N': 0}"
2,"[8903, 8904, 8905]","[8906, 8907, 8908]",2,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 3}","{'WO': 3, 'S': 3}","{'WS': 100.0, 'S': 100.0}","{'WO': 100.0, 'S': 100.0}"
3,"[8909, 8910]","[8911, 8912]",3,"{'WT': 2, 'S': 2}","{'WS': 2, 'S': 2}","{'WO': 2, 'S': 2}","{'WS': 100.0, 'S': 100.0}","{'WO': 100.0, 'S': 100.0}"
4,"[8913, 8914]","[8915, 8916]",4,"{'WT': 2, 'N': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
5,"[8917, 8918]","[8919, 8920]",5,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
6,"[8921, 8922]","[8923, 8924]",6,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
7,"[8925, 8926, 8927, 8928]","[8929, 8930, 8931, 8932]",7,"{'WT': 4, 'M': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
8,"[8933, 8934]","[8935, 8936]",9,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
9,"[8937, 8938, 8939]","[8940, 8941, 8942]",10,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 1}","{'WO': 3, 'B': 1}","{'WS': 100.0, 'B': 33.33333333333333}","{'WO': 100.0, 'B': 33.33333333333333}"
10,"[8943, 8944, 8945]","[8946, 8947, 8948]",11,"{'WT': 3, 'B': 3}",{'WS': 3},"{'WO': 3, 'B': 1}","{'WS': 100.0, 'B': 0}","{'WO': 100.0, 'B': 33.33333333333333}"
11,"[8949, 8950, 8951, 8952]","[8953, 8954, 8955, 8956]",12,"{'WT': 4, 'N': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
12,"[8957, 8958, 8959, 8960, 8961, 8962, 8963]","[8964, 8965, 8966, 8967, 8968, 8969, 8970]",13,"{'WT': 7, 'N': 7}",{'WS': 7},{'WO': 7},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
13,"[8971, 8972, 8973, 8974, 8975, 8976]","[8977, 8978, 8979, 8980, 8981, 8982]",14,"{'WT': 6, 'N': 6}",{'WS': 6},{'WO': 6},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
14,"[8983, 8984, 8985, 8986]","[8987, 8988, 8989, 8990]",15,"{'WT': 4, 'N': 4}","{'WS': 4, 'N': 1}","{'WO': 4, 'N': 1}","{'WS': 100.0, 'N': 25.0}","{'WO': 100.0, 'N': 25.0}"
15,"[8991, 8992, 8993, 8994, 8995, 8996]","[8997, 8998, 8999, 9000, 9001, 9002]",16,"{'WT': 7, 'N': 7}",{'WS': 6},{'WO': 6},"{'WS': 85.71428571428571, 'N': 0}","{'WO': 85.71428571428571, 'N': 0}"
16,"[9003, 9004, 9005, 9006, 9007]","[9008, 9009, 9010, 9011, 9012]",17,"{'WT': 5, 'N': 5}",{'WS': 5},{'WO': 5},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
17,"[9013, 9014, 9015, 9016, 9017, 9018]","[9019, 9020, 9021, 9022, 9023, 9024]",18,"{'WT': 6, 'N': 6}","{'WS': 6, 'N': 1}","{'WO': 6, 'N': 1}","{'WS': 100.0, 'N': 16.666666666666664}","{'WO': 100.0, 'N': 16.666666666666664}"
18,"[9025, 9026, 9027, 9028]","[9029, 9030, 9031, 9032]",19,"{'WT': 4, 'B': 1, 'K': 1, 'T': 2}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'B': 0, 'K': 0, 'T': 0}","{'WO': 100.0, 'B': 0, 'K': 0, 'T': 0}"
19,"[9033, 9034]","[9035, 9036]",20,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
20,"[9037, 9038]","[9039, 9040]",21,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
21,"[9041, 9042, 9043]","[9044, 9045, 9046]",22,"{'WT': 3, 'K': 1, 'N': 2}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'K': 0, 'N': 0}","{'WO': 100.0, 'K': 0, 'N': 0}"
22,"[9047, 9048, 9049]","[9050, 9051, 9052]",23,"{'WT': 3, 'K': 2, 'T': 1}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'K': 0, 'T': 0}","{'WO': 100.0, 'K': 0, 'T': 0}"
23,"[9053, 9054, 9055]","[9056, 9057, 9058]",24,"{'WT': 3, 'T': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
24,"[9059, 9060, 9061]","[9062, 9063, 9064]",25,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
25,"[9065, 9066]","[9067, 9068]",26,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
26,"[9069, 9070]","[9071, 9072]",27,"{'WT': 4, 'K': 4}",{'WS': 2},{'WO': 2},"{'WS': 50.0, 'K': 0}","{'WO': 50.0, 'K': 0}"
27,"[9073, 9074, 9075, 9076]","[9077, 9078, 9079, 9080]",28,"{'WT': 4, 'K': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
28,"[9081, 9082, 9083]","[9084, 9085, 9086]",29,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
29,"[9087, 9088, 9089]","[9090, 9091, 9092]",30,"{'WT': 3, 'T': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
30,"[9093, 9094, 9095, 9096]","[9097, 9098, 9099, 9100]",32,"{'WT': 4, 'K': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
